IdPesanan,SKU,NamaBarang,Jumlah,HargaBeli,HargaJual,Laba
ID-20180108-787015,SSI-D01401050-MM-RED,"Zeomila Zipper Casual Blouse (M,Red)",1,80230,110000,29770
ID-20180108-806361,SSI-D01401071-LL-RED,"Zeomila Zipper Casual Blouse (L,Red)",1,74059,110000,35941
ID-20180108-806361,SSI-D01326201-XL-KHA,"Siunfhi Ethnic Trump Blouse (XL,Khaki)",1,69808,115000,45192
ID-20180107-158796,SSI-D01401050-MM-RED,"Zeomila Zipper Casual Blouse (M,Red)",1,80230,130000,49770
ID-20180107-954171,SSI-D01037822-XX-BLA,"Dellaya Plain Loose Big Blouse (XXL,Black)",1,74010,130000,55990
ID-20180107-988936,SSI-D01466064-X3-BLA,"Salyara Plain Casual Big Blouse (XXXL,Black)",1,70071,125000,54929
ID-20180107-824047,SSI-D01322234-LL-WHI,"Thafqya Plain Raglan Blouse (L,White)",1,73600,130000,56400
ID-20180107-824047,SSI-D01466013-XX-BLA,"Salyara Plain Casual Big Blouse (XXL,Black)",1,78269,115000,36731
ID-20180107-224203,SSI-D01466064-X3-BLA,"Salyara Plain Casual Big Blouse (XXXL,Black)",1,70071,130000,59929
ID-20180107-932533,SSI-D01220355-XX-YEL,"Devibav Plain Trump Blouse (XXL,Yellow)",1,65364,130000,64636
ID-20180107-275815,SSI-D01466013-XX-BLA,"Salyara Plain Casual Big Blouse (XXL,Black)",1,78269,120000,41731
ID-20180107-792305,SSI-D01322234-LL-WHI,"Thafqya Plain Raglan Blouse (L,White)",1,73600,110000,36400
ID-20180107-557472,SSI-D00864614-XL-NAV,"Deklia Plain Casual Blouse (XL,Navy)",1,65560,130000,64440
ID-20180107-654373,SSI-D01401050-MM-RED,"Zeomila Zipper Casual Blouse (M,Red)",1,80230,125000,44770
ID-20180107-256771,SSI-D00864661-MM-NAV,"Deklia Plain Casual Blouse (M,Navy)",1,69929,130000,60071
ID-20180107-256771,SSI-D01322234-LL-WHI,"Thafqya Plain Raglan Blouse (L,White)",1,73600,125000,51400
ID-20180107-267724,SSI-D00791077-MM-BWH,"Zalekia Plain Casual Blouse (M,Broken White)",1,71854,115000,43146
ID-20180107-267724,SSI-D01401071-LL-RED,"Zeomila Zipper Casual Blouse (L,Red)",1,74059,110000,35941
ID-20180107-637443,SSI-D01401050-MM-RED,"Zeomila Zipper Casual Blouse (M,Red)",1,80230,110000,29770
ID-20180107-394574,SSI-D01401064-XL-RED,"Zeomila Zipper Casual Blouse (XL,Red)",1,78612,130000,51388
ID-20180107-886518,SSI-D01037822-XX-BLA,"Dellaya Plain Loose Big Blouse (XXL,Black)",1,74010,120000,45990
ID-20180107-248621,SSI-D01401064-XL-RED,"Zeomila Zipper Casual Blouse (XL,Red)",1,78612,125000,46388
ID-20180107-248621,SSI-D01322275-XL-WHI,"Thafqya Plain Raglan Blouse (XL,White)",1,62360,115000,52640
ID-20180107-886941,SSI-D01220334-XL-YEL,"Devibav Plain Trump Blouse (XL,Yellow)",1,71835,125000,53165
ID-20180107-515949,SSI-D00864612-LL-NAV,"Deklia Plain Casual Blouse (L,Navy)",1,67365,110000,42635
ID-20180107-515949,SSI-D00864614-XL-NAV,"Deklia Plain Casual Blouse (XL,Navy)",1,65560,125000,59440
ID-20180107-715783,SSI-D01220322-MM-YEL,"Devibav Plain Trump Blouse (M,Yellow)",1,67666,130000,62334
ID-20180107-487998,SSI-D00864661-MM-NAV,"Deklia Plain Casual Blouse (M,Navy)",1,69929,130000,60071
ID-20180106-916346,SSI-D01322275-XL-WHI,"Thafqya Plain Raglan Blouse (XL,White)",1,62360,120000,57640
ID-20180106-916346,SSI-D01326201-XL-KHA,"Siunfhi Ethnic Trump Blouse (XL,Khaki)",1,69808,115000,45192
ID-20180106-747402,SSI-D00864612-LL-NAV,"Deklia Plain Casual Blouse (L,Navy)",1,67365,120000,52635
ID-20180106-660361,SSI-D01466064-X3-BLA,"Salyara Plain Casual Big Blouse (XXXL,Black)",1,70071,130000,59929
ID-20180106-995226,SSI-D01401064-XL-RED,"Zeomila Zipper Casual Blouse (XL,Red)",1,78612,125000,46388
ID-20180106-159566,SSI-D00864614-XL-NAV,"Deklia Plain Casual Blouse (XL,Navy)",1,65560,110000,44440
ID-20180106-159566,SSI-D01037822-XX-BLA,"Dellaya Plain Loose Big Blouse (XXL,Black)",1,74010,130000,55990
ID-20180106-448993,SSI-D01322234-LL-WHI,"Thafqya Plain Raglan Blouse (L,White)",2,73600,120000,-27200
ID-20180106-497805,SSI-D01401064-XL-RED,"Zeomila Zipper Casual Blouse (XL,Red)",1,78612,125000,46388
ID-20180106-052436,SSI-D01220307-XL-SAL,"Devibav Plain Trump Blouse (XL,Salem)",1,69046,125000,55954
ID-20180106-191506,SSI-D01466064-X3-BLA,"Salyara Plain Casual Big Blouse (XXXL,Black)",1,70071,130000,59929
ID-20180106-191506,SSI-D01401071-LL-RED,"Zeomila Zipper Casual Blouse (L,Red)",1,74059,110000,35941
ID-20180106-963044,SSI-D01401071-LL-RED,"Zeomila Zipper Casual Blouse (L,Red)",1,74059,125000,50941
ID-20180106-147883,SSI-D01326201-XL-KHA,"Siunfhi Ethnic Trump Blouse (XL,Khaki)",1,69808,115000,45192
ID-20180106-194221,SSI-D00791077-MM-BWH,"Zalekia Plain Casual Blouse (M,Broken White)",1,71854,115000,43146
ID-20180106-194221,SSI-D00864614-XL-NAV,"Deklia Plain Casual Blouse (XL,Navy)",1,65560,120000,54440
ID-20180106-941338,SSI-D01037812-X3-BLA,"Dellaya Plain Loose Big Blouse (XXXL,Black)",1,67978,130000,62022
ID-20180106-840203,SSI-D01220355-XX-YEL,"Devibav Plain Trump Blouse (XXL,Yellow)",1,65364,125000,59636
ID-20180106-840203,SSI-D01037822-XX-BLA,"Dellaya Plain Loose Big Blouse (XXL,Black)",1,74010,120000,45990
ID-20180106-668414,SSI-D00864614-XL-NAV,"Deklia Plain Casual Blouse (XL,Navy)",1,65560,110000,44440
ID-20180106-011810,SSI-D01401064-XL-RED,"Zeomila Zipper Casual Blouse (XL,Red)",1,78612,125000,46388
ID-20180106-011810,SSI-D01466064-X3-BLA,"Salyara Plain Casual Big Blouse (XXXL,Black)",1,70071,110000,39929
ID-20180106-821540,SSI-D01401064-XL-RED,"Zeomila Zipper Casual Blouse (XL,Red)",1,78612,120000,41388
ID-20180106-477498,SSI-D01220338-XX-SAL,"Devibav Plain Trump Blouse (XXL,Salem)",1,67300,125000,57700
ID-20180106-122138,SSI-D01322275-XL-WHI,"Thafqya Plain Raglan Blouse (XL,White)",1,62360,115000,52640
ID-20180106-122138,SSI-D01401050-MM-RED,"Zeomila Zipper Casual Blouse (M,Red)",1,80230,120000,39770
ID-20180106-622958,SSI-D01220346-LL-SAL,"Devibav Plain Trump Blouse (L,Salem)",1,71880,125000,53120
ID-20180106-326196,SSI-D01401064-XL-RED,"Zeomila Zipper Casual Blouse (XL,Red)",1,78612,130000,51388
ID-20180106-599823,SSI-D01220355-XX-YEL,"Devibav Plain Trump Blouse (XXL,Yellow)",1,65364,115000,49636
ID-20180106-995006,SSI-D01401071-LL-RED,"Zeomila Zipper Casual Blouse (L,Red)",1,74059,115000,40941
ID-20180106-995006,SSI-D01322234-LL-WHI,"Thafqya Plain Raglan Blouse (L,White)",1,73600,125000,51400
ID-20180106-952955,SSI-D01401064-XL-RED,"Zeomila Zipper Casual Blouse (XL,Red)",1,78612,130000,51388
ID-20180106-137612,SSI-D01322275-XL-WHI,"Thafqya Plain Raglan Blouse (XL,White)",1,62360,120000,57640
ID-20180105-708484,SSI-D01037812-X3-BLA,"Dellaya Plain Loose Big Blouse (XXXL,Black)",1,67978,130000,62022
ID-20180105-708484,SSI-D01401071-LL-RED,"Zeomila Zipper Casual Blouse (L,Red)",1,74059,110000,35941
ID-20180105-452199,SSI-D00864612-LL-NAV,"Deklia Plain Casual Blouse (L,Navy)",1,67365,120000,52635
ID-20180105-241122,SSI-D01220388-MM-SAL,"Devibav Plain Trump Blouse (M,Salem)",1,67500,115000,47500
ID-20180105-241122,SSI-D01220355-XX-YEL,"Devibav Plain Trump Blouse (XXL,Yellow)",1,65364,110000,44636
ID-20180105-062130,SSI-D01466064-X3-BLA,"Salyara Plain Casual Big Blouse (XXXL,Black)",1,70071,125000,54929
ID-20180105-969432,SSI-D01401064-XL-RED,"Zeomila Zipper Casual Blouse (XL,Red)",1,78612,120000,41388
ID-20180105-865417,SSI-D01037822-XX-BLA,"Dellaya Plain Loose Big Blouse (XXL,Black)",1,74010,115000,40990
ID-20180105-865417,SSI-D00864612-LL-NAV,"Deklia Plain Casual Blouse (L,Navy)",1,67365,115000,47635
ID-20180105-480016,SSI-D01466013-XX-BLA,"Salyara Plain Casual Big Blouse (XXL,Black)",1,78269,110000,31731
ID-20180105-480016,SSI-D01401071-LL-RED,"Zeomila Zipper Casual Blouse (L,Red)",1,74059,120000,45941
ID-20180105-072726,SSI-D01466064-X3-BLA,"Salyara Plain Casual Big Blouse (XXXL,Black)",1,70071,120000,49929
ID-20180105-103404,SSI-D01401050-MM-RED,"Zeomila Zipper Casual Blouse (M,Red)",1,80230,120000,39770
ID-20180105-290734,SSI-D00864614-XL-NAV,"Deklia Plain Casual Blouse (XL,Navy)",1,65560,115000,49440
ID-20180105-227687,SSI-D01401064-XL-RED,"Zeomila Zipper Casual Blouse (XL,Red)",1,78612,115000,36388
ID-20180105-740096,SSI-D01401071-LL-RED,"Zeomila Zipper Casual Blouse (L,Red)",1,74059,110000,35941
ID-20180105-373123,SSI-D01401071-LL-RED,"Zeomila Zipper Casual Blouse (L,Red)",1,74059,130000,55941
ID-20180105-522085,SSI-D00791091-XL-BWH,"Zalekia Plain Casual Blouse (XL,Broken White)",1,73323,125000,51677
ID-20180105-695274,SSI-D00864661-MM-NAV,"Deklia Plain Casual Blouse (M,Navy)",1,69929,120000,50071
ID-20180105-695274,SSI-D01401050-MM-RED,"Zeomila Zipper Casual Blouse (M,Red)",1,80230,120000,39770
ID-20180105-014693,SSI-D01220338-XX-SAL,"Devibav Plain Trump Blouse (XXL,Salem)",1,67300,130000,62700
ID-20180105-773319,SSI-D01401071-LL-RED,"Zeomila Zipper Casual Blouse (L,Red)",1,74059,115000,40941
ID-20180105-773319,SSI-D00864612-LL-NAV,"Deklia Plain Casual Blouse (L,Navy)",1,67365,130000,62635
ID-20180105-076908,SSI-D00864661-MM-NAV,"Deklia Plain Casual Blouse (M,Navy)",1,69929,130000,60071
ID-20180105-600820,SSI-D00864661-MM-NAV,"Deklia Plain Casual Blouse (M,Navy)",1,69929,120000,50071
ID-20180105-247474,SSI-D00864612-LL-NAV,"Deklia Plain Casual Blouse (L,Navy)",1,67365,120000,52635
ID-20180105-720461,SSI-D01322234-LL-WHI,"Thafqya Plain Raglan Blouse (L,White)",1,73600,115000,41400
ID-20180105-595608,SSI-D01466064-X3-BLA,"Salyara Plain Casual Big Blouse (XXXL,Black)",1,70071,115000,44929
ID-20180105-595608,SSI-D00864612-LL-NAV,"Deklia Plain Casual Blouse (L,Navy)",1,67365,130000,62635
ID-20180105-762941,SSI-D00864614-XL-NAV,"Deklia Plain Casual Blouse (XL,Navy)",1,65560,120000,54440
ID-20180105-101047,SSI-D01220338-XX-SAL,"Devibav Plain Trump Blouse (XXL,Salem)",1,67300,115000,47700
ID-20180105-101047,SSI-D01322234-LL-WHI,"Thafqya Plain Raglan Blouse (L,White)",1,73600,115000,41400
ID-20180105-850240,SSI-D01322275-XL-WHI,"Thafqya Plain Raglan Blouse (XL,White)",1,62360,110000,47640
ID-20180105-850240,SSI-D01466064-X3-BLA,"Salyara Plain Casual Big Blouse (XXXL,Black)",1,70071,130000,59929
ID-20180105-511121,SSI-D01466064-X3-BLA,"Salyara Plain Casual Big Blouse (XXXL,Black)",1,70071,110000,39929
ID-20180105-991431,SSI-D01220338-XX-SAL,"Devibav Plain Trump Blouse (XXL,Salem)",1,67300,120000,52700
ID-20180104-627761,SSI-D01466064-X3-BLA,"Salyara Plain Casual Big Blouse (XXXL,Black)",1,70071,130000,59929
ID-20180104-665186,SSI-D01220338-XX-SAL,"Devibav Plain Trump Blouse (XXL,Salem)",1,67300,120000,52700
ID-20180104-472717,SSI-D00864661-MM-NAV,"Deklia Plain Casual Blouse (M,Navy)",1,69929,125000,55071
ID-20180104-519721,SSI-D01037822-XX-BLA,"Dellaya Plain Loose Big Blouse (XXL,Black)",1,74010,130000,55990
ID-20180104-814281,SSI-D01322234-LL-WHI,"Thafqya Plain Raglan Blouse (L,White)",1,73600,125000,51400
ID-20180104-814281,SSI-D01401050-MM-RED,"Zeomila Zipper Casual Blouse (M,Red)",1,80230,120000,39770
ID-20180104-691716,SSI-D01326299-LL-NAV,"Siunfhi Ethnic Trump Blouse (L,Navy)",1,66955,120000,53045
ID-20180104-657887,SSI-D01466064-X3-BLA,"Salyara Plain Casual Big Blouse (XXXL,Black)",1,70071,130000,59929
ID-20180104-657887,SSI-D01037822-XX-BLA,"Dellaya Plain Loose Big Blouse (XXL,Black)",1,74010,115000,40990
ID-20180104-888077,SSI-D00864614-XL-NAV,"Deklia Plain Casual Blouse (XL,Navy)",1,65560,125000,59440
ID-20180104-770524,SSI-D01401071-LL-RED,"Zeomila Zipper Casual Blouse (L,Red)",1,74059,130000,55941
ID-20180104-770524,SSI-D01220334-XL-YEL,"Devibav Plain Trump Blouse (XL,Yellow)",1,71835,120000,48165
ID-20180104-110389,SSI-D00864614-XL-NAV,"Deklia Plain Casual Blouse (XL,Navy)",1,65560,125000,59440
ID-20180104-514620,SSI-D01037812-X3-BLA,"Dellaya Plain Loose Big Blouse (XXXL,Black)",1,67978,110000,42022
ID-20180104-671852,SSI-D00864652-SS-NAV,"Deklia Plain Casual Blouse (S,Navy)",1,71624,115000,43376
ID-20180104-671852,SSI-D01466064-X3-BLA,"Salyara Plain Casual Big Blouse (XXXL,Black)",1,70071,110000,39929
ID-20180104-172139,SSI-D01401064-XL-RED,"Zeomila Zipper Casual Blouse (XL,Red)",1,78612,110000,31388
ID-20180104-653179,SSI-D00864614-XL-NAV,"Deklia Plain Casual Blouse (XL,Navy)",1,65560,115000,49440
ID-20180104-796899,SSI-D00864612-LL-NAV,"Deklia Plain Casual Blouse (L,Navy)",1,67365,110000,42635
ID-20180104-796899,SSI-D01401050-MM-RED,"Zeomila Zipper Casual Blouse (M,Red)",1,80230,115000,34770
ID-20180104-417663,SSI-D01220355-XX-YEL,"Devibav Plain Trump Blouse (XXL,Yellow)",1,65364,120000,54636
ID-20180104-944080,SSI-D01037822-XX-BLA,"Dellaya Plain Loose Big Blouse (XXL,Black)",1,74010,120000,45990
ID-20180104-394857,SSI-D00864661-MM-NAV,"Deklia Plain Casual Blouse (M,Navy)",1,69929,110000,40071
ID-20180104-394857,SSI-D00864614-XL-NAV,"Deklia Plain Casual Blouse (XL,Navy)",1,65560,125000,59440
ID-20180104-441349,SSI-D01220357-SS-YEL,"Devibav Plain Trump Blouse (S,Yellow)",1,63650,115000,51350
ID-20180104-281342,SSI-D01466064-X3-BLA,"Salyara Plain Casual Big Blouse (XXXL,Black)",1,70071,120000,49929
ID-20180104-178216,SSI-D00864614-XL-NAV,"Deklia Plain Casual Blouse (XL,Navy)",1,65560,115000,49440
ID-20180104-178216,SSI-D01322234-LL-WHI,"Thafqya Plain Raglan Blouse (L,White)",1,73600,110000,36400
ID-20180104-826098,SSI-D01401071-LL-RED,"Zeomila Zipper Casual Blouse (L,Red)",1,74059,125000,50941
ID-20180104-605558,SSI-D01037812-X3-BLA,"Dellaya Plain Loose Big Blouse (XXXL,Black)",1,67978,130000,62022
ID-20180103-542227,SSI-D00864652-SS-NAV,"Deklia Plain Casual Blouse (S,Navy)",1,71624,130000,58376
ID-20180103-999499,SSI-D01220322-MM-YEL,"Devibav Plain Trump Blouse (M,Yellow)",1,67666,130000,62334
ID-20180103-234549,SSI-D01322234-LL-WHI,"Thafqya Plain Raglan Blouse (L,White)",1,73600,130000,56400
ID-20180103-550533,SSI-D00864614-XL-NAV,"Deklia Plain Casual Blouse (XL,Navy)",1,65560,130000,64440
ID-20180103-098297,SSI-D00864612-LL-NAV,"Deklia Plain Casual Blouse (L,Navy)",1,67365,130000,62635
ID-20180103-098297,SSI-D01466013-XX-BLA,"Salyara Plain Casual Big Blouse (XXL,Black)",1,78269,120000,41731
ID-20180103-488855,SSI-D00864661-MM-NAV,"Deklia Plain Casual Blouse (M,Navy)",1,69929,110000,40071
ID-20180103-094530,SSI-D00864614-XL-NAV,"Deklia Plain Casual Blouse (XL,Navy)",1,65560,130000,64440
ID-20180103-094530,SSI-D00864614-XL-NAV,"Deklia Plain Casual Blouse (XL,Navy)",1,65560,120000,54440
ID-20180103-281889,SSI-D01401071-LL-RED,"Zeomila Zipper Casual Blouse (L,Red)",1,74059,110000,35941
ID-20180103-082704,SSI-D01466064-X3-BLA,"Salyara Plain Casual Big Blouse (XXXL,Black)",1,70071,125000,54929
ID-20180103-448394,SSI-D00864652-SS-NAV,"Deklia Plain Casual Blouse (S,Navy)",1,71624,110000,38376
ID-20180103-784881,SSI-D01401050-MM-RED,"Zeomila Zipper Casual Blouse (M,Red)",1,80230,125000,44770
ID-20180103-784881,SSI-D01401071-LL-RED,"Zeomila Zipper Casual Blouse (L,Red)",1,74059,115000,40941
ID-20180103-607160,SSI-D00864614-XL-NAV,"Deklia Plain Casual Blouse (XL,Navy)",1,65560,120000,54440
ID-20180103-909055,SSI-D01322275-XL-WHI,"Thafqya Plain Raglan Blouse (XL,White)",1,62360,110000,47640
ID-20180103-909055,SSI-D00864612-LL-NAV,"Deklia Plain Casual Blouse (L,Navy)",1,67365,120000,52635
ID-20180103-682889,SSI-D01326205-MM-NAV,"Siunfhi Ethnic Trump Blouse (M,Navy)",1,75209,110000,34791
ID-20180103-997769,SSI-D01466013-XX-BLA,"Salyara Plain Casual Big Blouse (XXL,Black)",1,78269,115000,36731
ID-20180103-997769,SSI-D00864614-XL-NAV,"Deklia Plain Casual Blouse (XL,Navy)",1,65560,110000,44440
ID-20180103-436879,SSI-D01326201-XL-KHA,"Siunfhi Ethnic Trump Blouse (XL,Khaki)",1,69808,110000,40192
ID-20180103-289144,SSI-D01326205-MM-NAV,"Siunfhi Ethnic Trump Blouse (M,Navy)",1,75209,120000,44791
ID-20180103-714338,SSI-D01322234-LL-WHI,"Thafqya Plain Raglan Blouse (L,White)",1,73600,110000,36400
ID-20180103-604954,SSI-D01220338-XX-SAL,"Devibav Plain Trump Blouse (XXL,Salem)",1,67300,115000,47700
ID-20180102-427280,SSI-D01322275-XL-WHI,"Thafqya Plain Raglan Blouse (XL,White)",1,62360,110000,47640
ID-20180102-180156,SSI-D01322275-XL-WHI,"Thafqya Plain Raglan Blouse (XL,White)",1,62360,115000,52640
ID-20180102-093912,SSI-D00864652-SS-NAV,"Deklia Plain Casual Blouse (S,Navy)",1,71624,120000,48376
ID-20180102-418554,SSI-D00864661-MM-NAV,"Deklia Plain Casual Blouse (M,Navy)",1,69929,115000,45071
ID-20180102-418554,SSI-D00864652-SS-NAV,"Deklia Plain Casual Blouse (S,Navy)",1,71624,130000,58376
ID-20180102-506428,SSI-D00864652-SS-NAV,"Deklia Plain Casual Blouse (S,Navy)",1,71624,115000,43376
ID-20180102-308026,SSI-D00864661-MM-NAV,"Deklia Plain Casual Blouse (M,Navy)",1,69929,115000,45071
ID-20180102-760488,SSI-D01037807-X3-BWH,"Dellaya Plain Loose Big Blouse (XXXL,Broken White)",1,62320,120000,57680
ID-20180102-803756,SSI-D01466064-X3-BLA,"Salyara Plain Casual Big Blouse (XXXL,Black)",1,70071,115000,44929
ID-20180102-804629,SSI-D01326299-LL-NAV,"Siunfhi Ethnic Trump Blouse (L,Navy)",1,66955,110000,43045
ID-20180102-835807,SSI-D01326205-MM-NAV,"Siunfhi Ethnic Trump Blouse (M,Navy)",1,75209,110000,34791
ID-20180102-835807,SSI-D01466064-X3-BLA,"Salyara Plain Casual Big Blouse (XXXL,Black)",1,70071,130000,59929
ID-20180102-830252,SSI-D00864614-XL-NAV,"Deklia Plain Casual Blouse (XL,Navy)",1,65560,115000,49440
ID-20180102-022854,SSI-D01466064-X3-BLA,"Salyara Plain Casual Big Blouse (XXXL,Black)",1,70071,110000,39929
ID-20180102-022854,SSI-D01220338-XX-SAL,"Devibav Plain Trump Blouse (XXL,Salem)",1,67300,125000,57700
ID-20180102-969899,SSI-D01466064-X3-BLA,"Salyara Plain Casual Big Blouse (XXXL,Black)",1,70071,115000,44929
ID-20180102-906366,SSI-D01037822-XX-BLA,"Dellaya Plain Loose Big Blouse (XXL,Black)",1,74010,110000,35990
ID-20180102-710392,SSI-D01466064-X3-BLA,"Salyara Plain Casual Big Blouse (XXXL,Black)",1,70071,125000,54929
ID-20180102-710392,SSI-D00864661-MM-NAV,"Deklia Plain Casual Blouse (M,Navy)",1,69929,125000,55071
ID-20180102-353713,SSI-D00864612-LL-NAV,"Deklia Plain Casual Blouse (L,Navy)",1,67365,125000,57635
ID-20180101-162850,SSI-D01401050-MM-RED,"Zeomila Zipper Casual Blouse (M,Red)",1,80230,125000,44770
ID-20180101-215093,SSI-D00864612-LL-NAV,"Deklia Plain Casual Blouse (L,Navy)",1,67365,130000,62635
ID-20180101-109691,SSI-D01326201-XL-KHA,"Siunfhi Ethnic Trump Blouse (XL,Khaki)",1,69808,125000,55192
ID-20180101-980137,SSI-D01401050-MM-RED,"Zeomila Zipper Casual Blouse (M,Red)",1,80230,110000,29770
ID-20180101-630436,SSI-D01220357-SS-YEL,"Devibav Plain Trump Blouse (S,Yellow)",1,63650,120000,56350
ID-20180101-563331,SSI-D01466013-XX-BLA,"Salyara Plain Casual Big Blouse (XXL,Black)",1,78269,120000,41731
ID-20180101-563331,SSI-D00864661-MM-NAV,"Deklia Plain Casual Blouse (M,Navy)",1,69929,130000,60071
ID-20180101-004935,SSI-D00864614-XL-NAV,"Deklia Plain Casual Blouse (XL,Navy)",1,65560,130000,64440
ID-20180101-350274,SSI-D00864661-MM-NAV,"Deklia Plain Casual Blouse (M,Navy)",1,69929,125000,55071
ID-20180101-350274,SSI-D01466064-X3-BLA,"Salyara Plain Casual Big Blouse (XXXL,Black)",1,70071,115000,44929
ID-20180101-875701,SSI-D01466013-XX-BLA,"Salyara Plain Casual Big Blouse (XXL,Black)",1,78269,130000,51731
ID-20180101-875701,SSI-D00864612-LL-NAV,"Deklia Plain Casual Blouse (L,Navy)",1,67365,125000,57635
ID-20180101-023993,SSI-D00791015-LL-BWH,"Zalekia Plain Casual Blouse (L,Broken White)",1,70447,130000,59553
ID-20180101-023993,SSI-D01322234-LL-WHI,"Thafqya Plain Raglan Blouse (L,White)",1,73600,110000,36400
ID-20171231-693222,SSI-D01220307-XL-SAL,"Devibav Plain Trump Blouse (XL,Salem)",1,69046,115000,45954
ID-20171231-693222,SSI-D00864652-SS-NAV,"Deklia Plain Casual Blouse (S,Navy)",1,71624,110000,38376
ID-20171231-561008,SSI-D01322234-LL-WHI,"Thafqya Plain Raglan Blouse (L,White)",1,73600,115000,41400
ID-20171231-561008,SSI-D01326205-MM-NAV,"Siunfhi Ethnic Trump Blouse (M,Navy)",1,75209,130000,54791
ID-20171231-816823,SSI-D00864661-MM-NAV,"Deklia Plain Casual Blouse (M,Navy)",1,69929,110000,40071
ID-20171231-422476,SSI-D00864614-XL-NAV,"Deklia Plain Casual Blouse (XL,Navy)",1,65560,110000,44440
ID-20171231-362544,SSI-D01326201-XL-KHA,"Siunfhi Ethnic Trump Blouse (XL,Khaki)",1,69808,125000,55192
ID-20171231-362544,SSI-D01322275-XL-WHI,"Thafqya Plain Raglan Blouse (XL,White)",1,62360,125000,62640
ID-20171231-658483,SSI-D01220322-MM-YEL,"Devibav Plain Trump Blouse (M,Yellow)",1,67666,110000,42334
ID-20171231-444754,SSI-D01326223-MM-KHA,"Siunfhi Ethnic Trump Blouse (M,Khaki)",1,64728,130000,65272
ID-20171231-978089,SSI-D00864612-LL-NAV,"Deklia Plain Casual Blouse (L,Navy)",1,67365,130000,62635
ID-20171231-978089,SSI-D00864661-MM-NAV,"Deklia Plain Casual Blouse (M,Navy)",1,69929,110000,40071
ID-20171231-936999,SSI-D00864612-LL-NAV,"Deklia Plain Casual Blouse (L,Navy)",1,67365,120000,52635
ID-20171231-832550,SSI-D00864614-XL-NAV,"Deklia Plain Casual Blouse (XL,Navy)",1,65560,110000,44440
ID-20171231-667277,SSI-D00864661-MM-NAV,"Deklia Plain Casual Blouse (M,Navy)",1,69929,120000,50071
ID-20171231-118186,SSI-D00864612-LL-NAV,"Deklia Plain Casual Blouse (L,Navy)",1,67365,110000,42635
ID-20171231-118186,SSI-D00864614-XL-NAV,"Deklia Plain Casual Blouse (XL,Navy)",1,65560,120000,54440
